Designator,"Mid X","Mid Y",Layer,Rotation
,,,,
C1,126.8195,-55.1419,B,180
C2,112.1,-86.8,B,270
C3,110.5,-88.2,B,90
C4,98.2,-74,B,90
C5,124.2195,-58.4419,B,90
C6,115.6,-83.2,B,180
C7,113.7,-69.3,B,270
C8,133.2,-58.1,B,180
C9,133.25,-60.5,B,0
C10,116.67,-81.38,B,0
C11,104.2,-70.4,B,0
C12,135.53,-77.81,B,180
C13,110.7,-84,B,90
D1,140.2,-79.625,B,270
D2,140.2478,-72.686,B,270
D3,140.3478,-65.386,B,270
D4,140.4478,-57.586,B,270
R1,131.4,-95.2,B,90
R2,138.4478,-80.086,B,270
R3,138.4478,-72.686,B,90
R4,138.4478,-65.486,B,90
R5,138.5478,-57.486,B,90
R6,142.13,-76.28,B,180
R7,108.2,-65.4,B,90
R8,106.6,-65.4,B,90
R9,133.4,-55.3,B,0
R10,113.04,-56.44,B,0
R11,107.8,-84.8,B,180
R12,107.8,-82.9,B,0
R13,106.3,-88.2,B,90
R14,108.4,-88.2,B,90
R15,95.2,-74.9,B,180
R16,95.1,-73,B,180
R17,68.7,-79.775,B,180
R18,68.7,-77.825,B,0
R19,103.8,-78.4,B,180
R20,123.1,-87,B,90
R21,111.3,-79.9,B,270
R22,109.8,-76.7,B,180
